,流水號,國字,審定音,詞例,限讀說明,通假說明,備注
13,0178,六,1.ㄌ｜ㄡˋ\n2.ㄌㄨˋ,1.四五六、六\n君子、第\n六、五臟六\n腑、六親不\n認\n2.姓（見萬姓\n統譜）,,,
0,0179,共,1.ㄍㄨㄥˋ\n2.ㄍㄨㄥ,1.禍福與\n共、共同、\n共有\n2.共工（唐堯\n時治水官\n名，又掌百\n工之官）、\n姓（如黃帝\n時有共鼓）,,通「拱」時，\n音ㄍㄨㄥˇ,
1,0180,其,1.ㄑ｜ˊ\n2.ㄐ｜\n(限讀),1.其實、其\n餘、尤其,2.限於「酈食\n其」（漢代\n人）一詞音\nㄌ｜ˋ\n｜ˋ\nㄐ｜。,,
2,0181,,ㄘㄜˋ,,,,
3,0182,冒,1.ㄇㄠˋ\n2.ㄇㄛˋ\n(限讀),1.冒充、冒\n險、冒失、\n冒犯,2.限於「冒\n頓」（人\n名。漢初匈\n奴的單于）\n一詞音ㄇㄛ\nˋ\nㄉㄨˊ。,,
4,0183,冘,｜ㄣˊ,,,,
5,0184,冠,1.ㄍㄨㄢ\n2.ㄍㄨㄢˋ,1.皇冠、雞\n冠、冠冕堂\n皇\n2.冠禮、冠\n軍、豔冠群\n芳、冠絕一\n時、冠詞,,,
0,0185,,1.ㄐㄩˋ\n2.ㄗㄨㄟˋ,1.「，積\n也。」（說\n文）\n2.「最」的異\n體字,,,
1,0186,冰,ㄅ｜ㄥ,,,,
2,*0187,冷,ㄌㄥˇ,,,,
3,*0188,凔,ㄔㄨㄤˋ,,,,
4,0189,凵,ㄎㄢˇ,,,,
5,0190,凹,ㄠ,,,,
6,0191,凸,ㄊㄨˊ,,,,
7,*0192,函,ㄏㄢˊ,,,,
8,0193,切,1.ㄑ｜ㄝˋ\n2.ㄑ｜ㄝ,1.密切、一\n切、反切\n2.切麵、切\n斷、切磋,,,
9,0194,分,1.ㄈㄣ\n2.ㄈㄣˋ,1.分數、分析\n2.本分、部分,,,
10,0195,刨,1.ㄆㄠˊ\n2.ㄅㄠˋ,1.刨土、刨\n除、刨根\n2.刨冰、刨\n木、刨子,,,
11,0196,刻,ㄎㄜˋ,,,,
12,0197,刷,ㄕㄨㄚ,,,,
13,0198,刺,ㄘˋ,,,,
14,0199,刮,ㄍㄨㄚ,,,,
15,0200,剌,1.ㄌㄚˋ\n2.ㄌㄚˊ,1.乖剌、剌\n謬、剌剌（狀\n聲詞）\n2.剌開,,,
0,0201,削,1.ㄒㄩㄝˋ\n讀\n2.ㄒ｜ㄠ\n語,1.削壁、削足\n適履、瘦削\n2.刀削麵、削\n鉛筆,,,取ㄒㄩㄝ\nˋ、ㄒ｜ㄠ二\n音。語音單用\n時，用ㄒ｜\nㄠ。
1,0202,剖,ㄆㄡˇ,,,,
2,0203,,ㄑ｜ㄥˊ,「，墨刑在\n面也，古作\n黥。」（集韻）,,通「掠」時，\n音ㄌㄩㄝˋ。,
3,0204,剡,1.｜ㄢˇ\n2.ㄕㄢˋ,1.「剡木為\n矢。」（易\n經‧繫辭下）\n2.剡溪（水\n名。在浙江\n省）、剡縣\n（浙江省舊\n縣名）,,,
4,0205,,ㄔㄢˇ,,,,
5,0206,剔,ㄊ｜,,,,
6,0207,剝,ㄅㄛ,剝落、剝皮,,通「駁」時，\n音ㄅㄛˊ。,
7,0208,副,1.ㄈㄨˋ\n2.ㄆ｜ˋ,1.副詞、副\n手、一副對\n聯、名副其\n實\n2.「為天子削\n瓜者副之。」\n（禮記‧曲\n禮上）,,,
8,0209,剬,ㄉㄨㄢ,「所以剬有\n司。」（淮南\n子‧主術）,,通「剸」時，\n音ㄊㄨㄢˊ。,
9,*0210,剴,ㄎㄞˇ,,,,
10,0211,創,1.ㄔㄨㄤˋ\n2.ㄔㄨㄤ,1.開創、創舉\n2.創傷、重創,,,
0,0212,剸,ㄊㄨㄢˊ,,,,
1,0213,剽,ㄆ｜ㄠˋ,,,,
2,0214,剿,ㄐ｜ㄠˇ,,,,
3,0215,劃,1.ㄏㄨㄚˋ\n2.ㄏㄨㄚˊ,1.規劃、劃撥\n2.劃開、劃火\n柴,,,
4,0216,劈,ㄆ｜,,,,ㄆ｜ˇ音是\n北平語區「劈\n柴」、「劈岔」\n等之特用\n音，併入\nㄆ｜。
5,0217,劇,ㄐㄩˋ,,,,
6,0218,劊,ㄎㄨㄞˋ,,,,
7,0219,劙,ㄌ｜ˊ,,,,
8,0220,勁,ㄐ｜ㄥˋ,,,,因為\nㄐ｜ㄥˋ的\n詞彙較多，且\n偏旁「巠」音\nㄐ｜ㄥ；因此\nㄐ｜ㄣˋ併\n讀為\nㄐ｜ㄥˋ。此\n字依問卷專\n家意見處理。
9,0221,,ㄌㄞˋ,招,,通「敕」時，\n音ㄔˋ。,
10,*0222,務,ㄨˋ,,,,
11,0223,勘,ㄎㄢ,,,,
12,0224,勒,1.ㄌㄜˋ\n2.ㄌㄟ,1.韁勒、勒\n碑、勒令\n2.勒緊、勒死,,,
0,0225,勞,1.ㄌㄠˊ\n2.ㄌㄠˋ,1.功勞、勞\n工、勞駕、\n疲勞、勞什\n子、勞燕分\n飛、勞師動\n眾\n2.慰勞、勞軍,,,
1,0226,勝,1.ㄕㄥˋ\n2.ㄕㄥ,1.戰勝、尋幽\n覽勝、勝會\n2.勝任、不勝\n枚舉,,,
2,*0227,募,ㄇㄨˋ,,,,
3,0228,勦,1.ㄐ｜ㄠˇ\n2.ㄔㄠ,1.勦匪、勦滅\n2.勦襲、勦說,,,
4,0229,勷,ㄖㄤˊ,,,,
5,0230,勺,1.ㄕㄠˊ\n2.ㄓㄨㄛˊ,1.湯勺\n2.「誦詩舞\n勺。」（禮\n記‧內則）,,,
6,0231,勾,1.ㄍㄡ\n2.ㄍㄡˋ\n(限讀),1.魚勾、一筆\n勾消、勾\n搭、勾勒、\n勾芡、拐\n勾、勾引、\n勾股形、勾\n魂攝魄,2.限於「勾\n當」一詞音\nㄍㄡˋ。,,
7,*0232,包,ㄅㄠ,,,,
8,0233,化,1.ㄏㄨㄚˋ\n2.ㄏㄨㄚ\n(限讀),1.造化弄\n人、文化、\n化石、化\n學、化裝、\n化境、化險\n為夷,2.限於「化\n子」（乞丐）\n一詞音\nㄏㄨㄚ。,,
9,0234,北,ㄅㄟˇ,北平、敗北、\n北方、北上,,通「背」時，\n音ㄅㄟˋ。,
0,0235,匙,1.ㄔˊ\n2.‧ㄕ\n(限讀),1.湯匙,2.限於「鑰\n匙」一詞音\n‧ㄕ。,,
1,*0236,匡,ㄎㄨㄤ,,,,
2,*0237,匪,ㄈㄟˇ,,,,
3,0238,匱,ㄎㄨㄟˋ,,,,
4,0239,匹,1.ㄆ｜ˇ\n2.ㄆ｜,1.布匹、匹\n配、匹夫之\n勇、匹敵\n2.單槍匹\n馬、馬匹,,,
5,*0240,匽,｜ㄢˇ,,,,
